label,volume,mean,sigma,median,min,max,count,centroidX,centroidY,centroidZ,bboxXStart,bboxXEnd,bboxYStart,bboxYEnd,bboxZStart,bboxZEnd
1,357.414,1.81105,4.7238,1.3225,0,7123.47,430368992,19.7695,9.45173,8.54085,15.355,23.4154,4.27772,13.4963,0.00952,16.7838
2,168.546,1.22025,6.3144,0.8075,0,13535.7,202949272,11.715,9.39785,14.1383,7.54672,15.5698,4.0162,14.0941,8.8536,18.9543
3,128.935,0.667379,1.86212,0.4925,0,2179.41,155252560,13.708,5.28212,12.4128,8.406,19.4179,1.55044,10.0218,9.76752,16.4601
4,302.602,0.824367,1.92524,0.5625,0,3420.67,364368624,11.4874,11.2838,7.56623,6.57536,15.906,4.81944,14.9907,0.72352,12.5569
5,104.669,0.950032,3.07652,0.6325,0,3618.74,126033792,16.3605,7.94553,9.41356,10.7223,21.9583,2.82068,12.0953,4.8552,12.6902
