skewness,sd,mean,median
0.00547328025197227,0.377486469661352,1.19192954758454,1.17722
-0.00675909682682715,0.358820934227928,1.24222054545455,1.23011
0.0283352070726221,0.363902966131538,1.1397108019802,1.0971
0.0397166492439095,0.373131036542236,1.17972956553398,1.121035
0.0797499300243801,0.505915246257906,1.21688352688172,1.09898
0.00943974166943369,0.326281799992406,1.22118306476684,1.2403
0.189037379562794,0.506637389145347,1.24488721760204,1.16768
0.0574150226914377,0.484447206232726,1.2657670978836,1.20218
-0.00659469656192781,0.342141495873044,1.16677974468085,1.181865
0.0498752637409302,0.411103307946129,1.16595979005525,1.14523
-0.00760113387240103,0.403731280846058,1.257380444,1.27907
0.0267601925690919,0.404942096357722,1.18669220427553,1.19296
-0.00804925598190235,0.354828492215986,1.19406105445545,1.23869
0.0816053682951212,0.49694729939903,1.21289721030928,1.11472
0.723925752883188,0.685434292480349,1.13765395357143,0.946863
0.141700548097824,0.508522160450341,1.23290000869565,1.156365
0.274384183304413,0.674771249262105,1.26840363888889,1.13374
0.394645961527783,0.619049915633719,1.18057675342466,1.03554
1.19875954237077,0.845633987065356,1.19062732844575,0.92466
0.205286843109362,0.587689535499668,1.20861333333333,1.09643
0.111133918954488,0.573064428600217,1.20354545434084,1.12706
0.0570158915909355,0.478016885581438,1.24047799719101,1.151575
0.199752725256775,0.509257132794141,1.19554258865248,1.074855
0.18411684419372,0.480290863487925,1.189218179941,1.13056
0.107651131587846,0.393532071112698,1.12389181557377,1.06938
0.124064410243224,0.503219921849083,1.19169105865922,1.12806
0.427759362349606,0.615024091888982,1.06537497005988,0.881766
0.0178635929598345,0.380527984477302,1.08591871315789,1.043555
0.472212523016086,0.639048877870519,1.12709107887324,0.963653
0.00807662719335365,0.368777661471526,1.16439981658291,1.133815
0.029364005110589,0.374585994248021,1.20909169683258,1.17595
0.0366780111378759,0.37588766297265,1.16942191851852,1.13819
0.010363678697457,0.31427046707631,1.1639269204893,1.15895
0.0354529108907135,0.334963542498702,1.12251963037249,1.10205
