label,area,mean,sigma,median,min,max,count,centroidX,centroidY,centroidZ,bboxXStart,bboxXEnd,bboxYStart,bboxYEnd,bboxZStart,bboxZEnd
335,0.378524,1525.17,1257.33,1164.49,648.098,15280.7,693,14.8194,8.12167,10.2792,14.6873,14.9548,7.87219,8.34433,9.93572,10.5907
336,0.0562398,669.498,497.092,463.969,288.012,2308.66,132,13.9861,11.4324,10.3626,13.904,14.0714,11.3382,11.5294,10.2656,10.477
337,0.0741449,667.103,674.115,416.458,290.32,3934.38,207,14.1501,11.5251,10.394,14.0302,14.2465,11.4237,11.6064,10.2907,10.5163
338,0.0892013,1143.27,1266.01,819.11,519.876,14016.7,236,15.5746,11.0188,11.0303,15.4966,15.6674,10.908,11.1395,10.918,11.1584
339,0.416347,1289.93,1298.72,913.96,433.636,16863,669,15.8445,11.2672,11.07,15.5927,16.0685,11.0732,11.4168,10.8584,11.3628
340,0.175294,2066.67,1777.07,1176.91,826.296,13165.3,465,16.1797,9.84198,9.77922,16.0591,16.3176,9.6925,10.0383,9.62132,9.95832
341,0.102843,1439.78,1465.5,1054.74,686.893,13439.3,86,16.3024,9.99165,9.49011,16.1419,16.4188,9.81414,10.187,9.33752,9.71542
342,0.140524,1939.12,2908.92,1137.27,723.099,21313.2,69,16.4125,9.21626,8.84149,16.1791,16.5573,8.9925,9.38788,8.63212,9.02752
343,0.418628,1926.01,2200.33,1451.13,415.667,24929.5,700,16.1152,9.02437,8.50082,15.8773,16.3157,8.77175,9.30063,8.20682,8.80092
344,0.0565439,2365.91,2287.94,1269.69,825.679,11077.5,45,15.202,9.39461,9.40291,15.1216,15.306,9.26789,9.51493,9.25162,9.49882
345,0.2806,1410.52,1280.4,985.049,631.177,10711.9,529,15.2166,9.09139,9.19368,15.0177,15.4209,8.81985,9.34307,9.03222,9.35902
346,0.0660136,846.732,1052.39,641.522,407.604,9468.04,242,14.4076,11.2125,9.28834,14.3005,14.4896,11.1084,11.3244,9.15492,9.37232
347,0.305915,835.204,742.292,599.316,334.528,6122.28,472,14.1994,11.3247,9.0826,14.0482,14.3745,11.0698,11.5627,8.92842,9.26202
348,0.311618,1074.27,1161.99,728.063,383.985,10708.3,570,13.8012,10.6542,9.19423,13.5815,14.0646,10.4993,10.8194,9.02922,9.41092
349,0.50384,1012.07,1053.33,723.171,414.071,16728.5,844,13.8986,10.7836,8.78213,13.6493,14.1821,10.5478,11.0553,8.48922,9.09042
350,0.893982,1010.34,442.097,681.036,249.549,5341.91,364,15.959,10.5139,7.66459,15.5895,16.3364,10.2036,10.8772,7.30132,8.05062
351,0.472802,870.709,1075.69,537.371,293.122,8785.55,118,15.265,10.7972,7.67133,14.9267,15.7466,10.3502,11.1583,7.37712,7.90902
352,0.373397,923.717,1981.11,536.181,342.496,28612.7,333,15.2872,11.6681,8.6988,15.0137,15.4989,11.4254,11.9636,8.51682,8.86782
353,0.21315,881.352,1959.34,686.554,313.316,23493.4,403,15.036,11.6664,8.50248,14.8546,15.1936,11.4468,11.8562,8.32272,8.68662
354,0.0393687,1426.82,1603.49,590.974,429.612,7365.78,147,11.1926,10.1836,8.59297,11.1116,11.2752,10.1312,10.2437,8.47232,8.70372
355,0.616446,776.433,748.932,618.197,145.75,8522.03,604,11.3337,10.4254,8.37665,11.1095,11.6115,10.1876,10.6576,8.04292,8.73382
356,0.0308271,4127.94,11833.7,965.649,717.616,60265.7,27,11.8507,7.15001,10.4201,11.7774,12.0742,6.98753,7.27768,10.3273,10.4949
