label,area,mean,sigma,median,min,max,count,centroidX,centroidY,centroidZ,bboxXStart,bboxXEnd,bboxYStart,bboxYEnd,bboxZStart,bboxZEnd
676,0.254891,5049.98,2314.09,5400.52,2320.11,16507.6,446,10.3764,9.38758,17.8816,10.2511,10.5178,9.24524,9.53027,17.6345,18.1217
677,0.207411,2728.08,1844.36,3447.54,1557.33,18669,347,9.35224,7.57546,17.6432,9.27488,9.43138,7.33214,7.84361,17.4089,17.8812
678,0.248761,2537.78,1657.92,2955.69,1393.95,13386.9,420,9.00971,7.51792,17.4283,8.76838,9.27688,7.1756,7.85452,17.2898,17.546
679,0.573241,3795.94,1389.08,3502.89,2696.93,19716.9,569,8.72471,8.48142,16.5749,8.33088,9.14308,8.14815,8.79844,16.3828,16.783
680,0.0729273,6537.47,5800.77,6931.89,2719.18,28911.8,152,9.10154,8.71829,16.4809,8.96648,9.22478,8.61258,8.83383,16.3877,16.5572
681,0.177014,7445.01,2861.03,9311.22,4994.3,18614.5,384,8.78447,10.0788,16.6559,8.56678,8.99928,9.90218,10.2318,16.5421,16.7798
682,0.0659892,8533.6,5023.51,8210.63,4900.29,23205.6,142,8.84641,10.2908,16.5876,8.73828,8.95268,10.1834,10.3715,16.4924,16.7091
683,0.184091,3361.83,1964.28,3700.65,1399.88,13267.5,341,12.1133,8.57016,19.1393,11.9403,12.2668,8.39281,8.80144,18.9507,19.2427
684,0.24878,3528.66,3263.17,3448.14,1319.8,31334.7,413,11.9193,8.4161,18.9724,11.8206,12.079,8.11136,8.68084,18.8068,19.0961
685,0.289408,6208.7,3140.55,6754.6,3166.97,24707.9,478,9.61297,12.2811,15.7493,9.45478,9.77198,12.1461,12.4056,15.4994,16.0052
686,0.170714,4939.41,3252.86,3879.89,2924.62,21393.9,151,9.76918,12.4715,15.522,9.60198,9.90958,12.2897,12.6484,15.3629,15.6922
687,0.0511249,5708.76,3661.16,4802.9,2507.79,16826.8,44,8.54327,9.62767,15.0996,8.41888,8.68338,9.55309,9.72242,14.9701,15.2148
688,0.293175,5369.43,3141.74,5615.97,2659.46,23367.2,473,8.32874,9.84769,15.1951,8.07928,8.58688,9.71301,9.97515,14.9622,15.3858
689,0.123656,2607.43,589.253,2465.37,1792.4,5071.48,105,8.05278,10.1929,13.7999,7.85898,8.26898,9.9471,10.3605,13.5851,14.0265
690,0.135855,2901.22,762.508,3648.66,2115.11,5915.43,277,8.29343,9.93348,13.6799,8.19898,8.41888,9.76138,10.0962,13.5581,13.8284
691,0.336164,6732.73,2594.1,7724.39,4049.95,23428.9,391,8.29309,11.2138,13.5002,8.00568,8.52808,10.9748,11.4424,13.353,13.6814
