label,area,mean,sigma,median,min,max,count,centroidX,centroidY,centroidZ,bboxXStart,bboxXEnd,bboxYStart,bboxYEnd,bboxZStart,bboxZEnd
1057,0.268139,3.11413,2.93644,2.31737,0.71855,19.9314,533,11.4808,15.4414,7.67344,11.3253,11.6384,15.1717,15.7538,7.56768,7.82038
1058,0.369673,2.5642,1.62537,2.08898,1.25548,18.0014,326,10.5075,15.065,6.41054,10.2532,10.7884,14.806,15.3171,6.21128,6.60518
1059,1.50136,2.50507,2.04704,1.64055,0.996389,24.1667,459,10.4371,14.9788,5.75783,9.9843,10.8763,14.5377,15.3699,5.18308,6.24968
1060,0.0413338,4.21866,3.08243,2.33288,2.12518,14.9528,32,10.868,14.0222,6.133,10.7151,10.9839,13.9229,14.0899,5.97658,6.26308
1061,0.551788,4.60905,2.87985,3.54756,1.25788,25.6577,781,10.6436,14.051,5.68677,10.4555,10.8878,13.8121,14.2658,5.28398,6.03838
1062,0.323953,2.97179,2.13297,2.22508,1.33406,15.5123,368,12.3927,14.9157,6.34893,12.1596,12.6697,14.7385,15.0758,6.21988,6.51108
1063,0.295034,2.75714,2.34413,2.16125,1.33795,24.7379,256,12.0194,15.1506,6.37221,11.8352,12.1911,14.9652,15.3829,6.19218,6.54988
1064,0.179037,5.15044,9.09573,2.43968,1.35204,66.6587,82,11.5696,14.6978,5.17546,11.4294,11.7909,14.3435,15.0677,4.92438,5.32378
1065,0.809351,2.39874,3.37034,1.32819,0.971209,37.0624,282,12.1537,14.5403,5.0087,11.7574,12.5192,14.1572,14.9493,4.66058,5.37648
1066,0.438794,2.245,1.13087,2.00475,0.991243,10.2199,627,13.1324,13.2079,7.47921,12.8335,13.3801,12.8961,13.5464,7.33618,7.65108
1067,0.251039,2.85709,1.36693,2.50554,1.44158,14.3252,221,12.9429,13.5392,7.15965,12.7338,13.1285,13.3817,13.7074,6.93108,7.37298
1068,0.0994447,2.67094,2.09091,2.01267,1.0159,12.127,236,9.49136,13.8005,8.26696,9.36136,9.61426,13.684,13.8903,8.14838,8.38988
1069,0.0333648,3.56377,3.45278,1.82748,1.31506,15.3439,99,9.38625,13.703,8.16099,9.32507,9.43713,13.6354,13.7759,8.11368,8.23048
1070,0.122396,2.59053,3.17754,1.73878,0.864533,30.7598,299,9.78156,13.433,8.17487,9.676,9.88445,13.3435,13.5707,8.01188,8.33558
1071,0.0391836,2.73802,3.42844,2.05311,1.05159,21.3011,86,9.66703,13.416,8.02005,9.58679,9.76909,13.342,13.4976,7.95658,8.10118
1072,0.367581,2.66692,2.34983,2.07754,1.49999,34.063,315,9.42896,14.363,7.65914,9.25251,9.61602,14.099,14.6451,7.49918,7.80958
1073,0.280704,2.89666,2.13287,2.1723,1.4462,16.8014,328,9.21092,14.0623,7.58953,8.98458,9.39971,13.8356,14.2673,7.44968,7.73768
1074,0.141624,3.02786,2.14474,2.3738,1.39928,18.0893,269,9.84911,14.1955,7.65732,9.68139,9.99755,14.0715,14.3188,7.53928,7.78848
1075,0.0786854,3.71667,3.13674,2.53032,1.35827,19.4346,215,9.77966,14.0944,7.43815,9.67733,9.86423,13.9821,14.2014,7.32338,7.54468
