label,area,mean,sigma,median,min,max,count,centroidX,centroidY,centroidZ,bboxXStart,bboxXEnd,bboxYStart,bboxYEnd,bboxZStart,bboxZEnd
1452,0.0221948,7.14609,7.79371,7.88996,2.13562,38.4071,75,17.5234,14.5778,1.67365,17.4597,17.5668,14.5249,14.6247,1.61338,1.73178
1453,0.0865657,8.86998,7.73279,8.59975,0.803335,38.6266,131,17.5661,14.4783,1.53835,17.4661,17.6425,14.3992,14.5639,1.41368,1.66038
1454,0.612247,4.61155,5.25465,4.26574,0.665032,45.1182,858,20.2072,14.3142,2.85987,19.7343,20.7076,14.0692,14.5685,2.59868,3.07198
1455,0.462991,7.10468,7.33742,4.67945,0.915272,58.3703,515,19.7001,14.5498,2.58806,19.4945,19.9228,14.3848,14.6919,2.22828,2.94448
1456,0.115239,4.45199,4.70512,2.41634,0.82365,37.5384,250,15.0165,3.00784,9.91105,14.9187,15.1321,2.92847,3.10149,9.74078,10.1015
1457,0.208728,4.6001,4.55792,2.45741,0.807537,38.8104,477,15.3835,2.90432,9.78701,15.0895,15.6629,2.70998,3.0941,9.63598,9.92858
1458,0.817265,4.77273,5.25546,2.73456,0.0885195,52.0801,930,15.6246,3.1353,9.03061,15.0689,16.2828,2.88691,3.40937,8.87168,9.24598
1459,0.430183,5.65071,5.51206,3.72609,0.881201,36.8242,468,15.0916,3.0822,8.78023,14.8205,15.3352,2.82358,3.36519,8.50238,9.07328
1460,0.100763,1.96346,2.38309,1.34436,0.731646,23.7506,266,9.13569,14.0858,3.68589,9.03756,9.25966,13.9812,14.1941,3.56958,3.80648
1461,0.61437,3.22063,3.37559,1.45374,0.15308,26.3854,842,8.97878,13.9738,3.20794,8.68556,9.27136,13.7685,14.1758,2.61708,3.67618
1462,0.34817,3.21261,3.32192,1.6583,0.126152,14.6639,569,11.7598,15.7125,1.28594,11.5725,11.9134,15.5067,15.848,0.83588,1.63178
1463,0.307816,3.41184,3.59875,1.50862,0.444752,25.6325,524,11.3497,15.676,1.39254,11.0953,11.5803,15.5468,15.7909,1.08738,1.68688
1464,0.0480298,3.1381,2.15496,2.07436,0.952017,12.9183,174,10.9755,15.5009,2.89399,10.9094,11.0544,15.4118,15.5795,2.77198,2.97588
1465,0.0236962,2.6977,3.25854,1.18126,0.91761,13.3525,85,11.1138,15.5665,2.79252,11.0258,11.1748,15.5273,15.6024,2.72118,2.85968
1466,0.0763752,2.55246,2.35882,1.56845,0.766563,15.1297,151,11.0274,15.1308,2.48895,10.9342,11.1282,15.0417,15.2195,2.38868,2.61248
1467,0.743173,3.46759,3.81396,1.87394,0.325419,32.3377,967,10.6322,15.3355,2.17842,10.1888,11.0518,15.1765,15.5036,1.72038,2.63328
1468,0.0552628,4.73222,3.52825,3.11585,1.39447,22.9236,157,14.9369,12.6464,3.43506,14.8461,15.0162,12.5543,12.7308,3.34418,3.52138
1469,0.0717468,3.51686,2.46537,2.24156,1.3822,17.8949,174,14.9008,12.6382,3.23757,14.7838,15.013,12.554,12.72,3.12018,3.32628
1470,0.100234,3.29521,3.56008,2.11299,0.857058,24.9985,202,14.7881,12.9677,2.26831,14.6237,14.923,12.8355,13.085,2.19378,2.34708
1471,0.153315,4.26314,2.99283,2.53672,0.751946,21.0722,285,14.6972,13.1505,2.07363,14.5311,14.857,13.0458,13.2559,1.82278,2.26478
1472,1.21667,3.49162,3.55626,2.23262,0.537626,31.6576,1432,13.7154,14.3204,1.93342,13.2071,14.2618,14.0471,14.6845,1.17238,2.57808
1473,0.412398,3.25617,2.71531,2.17856,0.748481,17.5822,359,13.1501,14.7989,2.31364,12.9781,13.3821,14.5309,15.0408,2.08218,2.54148
