label,parent,length,radius,name,centroidX,centroidY,centroidZ,directionX,directionY,directionZ
487,333,0.0967585,0.100697,,23.4749,8.73756,10.4386,0,-0.870621,-0.491954
488,333,0.658312,0.0915295,,23.6293,8.79372,10.1721,0.469231,0.0426545,-0.882045
489,338,0.0162589,0.130093,,21.3923,7.82028,9.14399,-0.572009,0.575705,0.584268
490,338,0.369804,0.111532,,21.4062,7.67052,9.02499,0.0505664,-0.784632,-0.617896
491,339,0.365707,0.172765,,22.3563,7.21656,8.67749,-0.64013,-0.767827,-0.0259758
492,339,0.180304,0.266094,,22.5483,7.3242,8.64414,0.830268,-0.363386,-0.422618
493,341,0.071019,0.17876,,22.141,8.77968,8.98689,0.658987,0.527187,-0.536479
494,341,0.283033,0.122525,,22.01,8.81244,8.92979,-0.760337,0.363776,-0.538103
495,344,0.375814,0.0779451,,20.0444,7.5114,8.03489,0.124531,-0.971333,-0.202494
496,344,0.211233,0.0641054,,20.1193,7.73136,8.06344,0.930724,0.354488,-0.0899482
497,346,0.712408,0.0897776,,20.3861,7.74072,7.04959,-0.28902,-0.945975,-0.146967
498,346,0.132773,0.105439,,20.4422,8.11512,7.07339,-0.70497,0.563974,-0.430059
499,347,0.449754,0.149767,,21.0459,7.92324,7.06859,0.187213,-0.853266,0.486711
500,347,0.685177,0.232044,,21.1723,7.956,6.70684,0.491844,-0.464464,-0.736453
501,348,0.257852,0.0946626,,21.0272,9.10728,7.36374,0.0364601,0.0725984,0.996695
502,348,0.413883,0.118828,,21.191,9.20088,7.17334,0.814244,0.49753,-0.299118
503,349,0.345775,0.0603945,,20.7371,9.27576,7.03524,-0.514498,0.812089,0.275324
504,349,0.0132945,0.153387,,20.8307,9.13536,6.98289,0.699553,0,-0.714581
505,350,0.257014,0.0777252,,20.0538,10.2726,7.96824,0.692182,-0.619421,0.370407
506,350,0.415656,0.0996579,,20.0678,10.4411,7.76354,0.4956,0.427758,-0.755913
507,351,0.68596,0.0922639,,19.6326,10.675,8.13959,-0.0682265,0.996123,0.055543
508,351,0.617093,0.100935,,19.5484,10.5627,7.94444,-0.348893,0.743324,-0.570739
509,352,0.466465,0.0722504,,18.8791,10.0666,9.02019,-0.481493,-0.260897,0.836718
510,352,0.225244,0.0816911,,19.0241,10.2351,8.82029,0.290797,0.955855,-0.0421745
511,353,0.557196,0.0870799,,18.6592,9.86076,8.74409,-0.890351,-0.31917,0.324663
512,353,0.291422,0.0901076,,18.8417,10.0433,8.56324,-0.449862,0.642435,-0.620404
513,354,0.16273,0.0805803,,18.1115,9.17748,8.01109,-0.114912,-0.977815,0.175137
514,354,0.228573,0.0722697,,18.018,9.27108,8.04444,-0.900799,0.122849,0.416497
515,355,0.197681,0.0727101,,18.2706,9.77652,7.61124,0.0946048,0.99433,-0.048564
516,355,0.177871,0.0863283,,18.177,9.70632,7.61124,-0.947311,0.315735,-0.0539727
517,356,0.9702,0.282338,,19.0241,8.62992,6.55929,0.395485,-0.405195,-0.824263
518,356,0.180116,0.455356,LMB,18.7668,8.84988,6.90199,-0.727863,0.259831,-0.63459
519,357,0.395209,0.122076,,18.8417,10.062,6.84014,-0.568562,0.805195,-0.168518
520,357,0.295172,0.145074,,19.0522,9.98244,6.79729,0.66571,0.539078,-0.51597
521,367,0.281103,0.0801183,,21.4391,10.4645,9.32009,0.565984,0.799,0.20313
522,367,0.381693,0.0785329,,21.5374,10.3709,9.22489,0.931899,0.0979851,-0.349233
