label,area,mean,sigma,median,min,max,count,centroidX,centroidY,centroidZ,bboxXStart,bboxXEnd,bboxYStart,bboxYEnd,bboxZStart,bboxZEnd
644,0.0703224,3.36597,1.32944,4.15086,1.98164,10.1199,103,17.5549,12.2405,12.1908,17.4332,17.6361,12.1199,12.3653,12.0767,12.3049
645,0.191733,2.84071,1.99611,2.58592,1.51243,17.7452,253,17.4284,12.4454,12.1365,17.3394,17.5436,12.2292,12.6376,12.0116,12.252
646,0.075016,2.83362,1.20117,3.47876,1.70962,12.4668,182,17.8962,12.5299,11.8249,17.8063,17.997,12.4261,12.6579,11.7071,11.9388
647,0.119695,2.94209,2.14254,3.35208,1.53978,14.8338,299,17.7486,12.6662,11.8339,17.637,17.8783,12.5367,12.8853,11.7363,11.9309
648,0.0222325,3.90406,1.76067,3.02921,2.36194,9.32412,20,18.1177,11.6901,11.9118,18.0206,18.2248,11.5827,11.7733,11.8462,11.975
649,0.128828,3.58855,2.27305,4.16243,1.94803,19.9752,281,18.2524,11.7431,11.7578,18.0911,18.3926,11.5988,11.8898,11.6565,11.858
650,0.35518,4.23164,2.54465,3.62815,1.99603,26.3673,297,18.2375,11.3297,11.6956,17.9773,18.508,11.1457,11.4915,11.5353,11.8441
651,0.135165,4.09384,2.9885,4.18033,2.03362,22.5999,269,17.9678,11.3394,11.5011,17.8297,18.1031,11.2155,11.4619,11.3579,11.6324
652,0.0864184,3.69391,4.44806,2.21249,1.34364,30.5507,79,17.7268,12.1404,10.0212,17.5845,17.8889,11.9924,12.2713,9.86374,10.1549
653,0.204722,3.20566,1.68443,2.74585,1.68629,14.4888,182,17.9063,12.0275,9.85341,17.7746,18.0625,11.8249,12.2731,9.66624,10.0526
654,0.206939,4.17191,4.34636,2.99203,1.97397,31.9926,177,17.8495,10.6333,9.27807,17.7127,17.9952,10.4727,10.7708,9.11284,9.43904
655,0.379137,3.25383,2.52015,3.41056,1.63553,32.1339,616,17.7595,10.7479,8.93193,17.6448,17.8875,10.4937,11.0223,8.59924,9.23774
656,0.12203,4.43415,4.34788,3.40506,1.46083,28.7341,108,18.8019,10.8746,9.23921,18.6673,18.9354,10.7346,11.011,9.10374,9.36784
657,0.318031,3.22971,1.71758,2.60937,1.64043,12.3238,272,18.7047,10.8003,8.94649,18.4614,19.0131,10.5384,11.0614,8.73304,9.20604
658,0.115426,2.95481,2.57357,3.15878,1.41758,27.778,252,16.9092,13.7708,9.25846,16.8053,17.0172,13.6142,13.8899,9.12174,9.38424
659,0.258338,2.39342,1.59204,2.48908,1.11091,21.6878,399,17.182,13.7419,9.17313,16.9717,17.4143,13.5369,13.9134,9.04994,9.33134
660,0.123253,3.04106,1.6586,2.35211,1.71636,11.3549,107,16.6687,13.6175,8.84301,16.543,16.8002,13.5029,13.7846,8.72514,8.99584
661,0.102951,3.66163,2.49193,4.2991,1.70134,28.2581,230,16.7512,13.3997,8.69191,16.6279,16.8573,13.309,13.5017,8.57944,8.82634
662,0.153497,2.68949,1.94846,3.50312,1.21986,14.9055,386,15.9619,13.6941,9.22253,15.8187,16.0935,13.5213,13.912,9.09544,9.32634
663,0.0592621,3.04149,4.01959,1.94843,1.09788,26.0634,142,15.8348,13.5394,9.17952,15.754,15.8947,13.4378,13.6595,9.07624,9.26344
664,0.255652,4.23348,4.70409,3.26889,1.89118,36.4752,276,17.8905,12.377,7.79039,17.6833,18.1227,12.1568,12.6533,7.63144,7.98714
665,0.762607,2.58501,2.43777,2.10392,1.28429,37.761,645,18.1286,11.9681,7.50657,17.7498,18.4863,11.6929,12.2514,7.15554,7.85204
666,0.107233,3.23827,1.48645,2.60244,1.69268,10.2796,91,17.4779,11.6335,7.85495,17.321,17.6123,11.4895,11.7295,7.68934,7.97054
667,0.555772,2.09392,1.31962,2.2676,0.740549,12.4801,814,17.4056,11.5433,7.39145,17.2062,17.5833,11.2393,11.8246,7.03304,7.75224
668,0.273793,1.83491,1.19269,1.49175,1.02228,8.43348,234,15.9141,11.9037,7.42297,15.7156,16.1396,11.6832,12.1312,7.24034,7.61894
669,0.466771,2.18723,1.23708,2.51644,1.16253,11.2278,801,15.718,12.333,7.48818,15.4798,16.0036,12.0626,12.5703,7.26144,7.68054
670,1.8187,1.42306,1.00618,1.07645,0.594937,11.9943,584,16.9369,12.4663,6.56182,16.5483,17.3183,11.9999,12.9482,5.97044,7.08064
671,0.58434,2.52216,2.57956,1.62722,0.701789,20.7055,470,16.8668,12.9596,7.09788,16.5347,17.1044,12.6843,13.2695,6.77394,7.42024
672,0.145234,1.93465,2.40781,1.41896,0.876857,26.9807,128,10.6316,10.401,16.688,10.4926,10.7616,10.2222,10.559,16.535,16.842
673,0.12014,2.81268,2.58119,3.09949,1.14218,26.8075,244,10.4367,10.3175,16.7612,10.339,10.5306,10.2139,10.4312,16.5938,16.9041
674,0.32856,1.57808,1.09973,1.71078,0.652598,12.1995,518,10.7491,10.7195,16.1652,10.4644,11.0174,10.4838,10.9482,16.047,16.2994
675,0.12861,1.28053,0.963397,1.39914,0.475573,11.8507,403,10.5979,10.5434,15.923,10.4308,10.7804,10.4253,10.6627,15.7742,16.0623
