label,parent,length,radius,name,centroidX,centroidY,centroidZ,directionX,directionY,directionZ
728,563,0.330145,0.166833,,11.9412,5.84684,11.6097,-0.820549,-0.509231,-0.259583
729,563,0.26575,0.129872,,12.1466,5.87019,11.5573,0.527186,-0.456896,-0.716464
730,565,0.166551,0.1008,,13.1834,6.65475,11.5906,0.168116,-0.841182,-0.513955
731,565,0.243512,0.0676821,,13.1367,6.79952,11.543,-0.26857,0.613685,-0.742469
732,569,0.355091,0.0696151,,11.6516,7.11708,11.6858,-0.815566,0.526062,-0.241064
733,569,0.226524,0.0779538,,11.745,7.03769,11.6286,-0.453818,0.123695,-0.882468
734,570,0.0713618,0.0598109,,14.2715,6.61739,10.1055,0,-0.916178,0.400771
735,570,0.123195,0.054202,,14.2108,6.64074,10.0865,-0.985425,-0.15163,-0.0771096
736,571,0.275021,0.0634823,,13.8325,7.2385,9.65326,-0.951198,-0.135845,-0.277071
737,571,0.178473,0.0505824,,13.9446,7.28987,9.61046,-0.209552,0.366328,-0.906583
738,572,0.0396784,0.0570463,,16.7606,7.92966,10.8386,0.236938,-0.941563,0.239414
739,572,0.165269,0.0468302,,16.7465,7.96235,10.9147,-0.113147,0.169541,0.979006
740,573,0.364442,0.0621735,,17.1855,8.10712,11.1098,0.666496,-0.30754,0.679119
741,573,0.291711,0.0577666,,17.0455,8.25189,11.1003,-0.127867,0.608341,0.783308
742,574,0.0841942,0.240444,AcRMB,17.6152,7.0517,9.88651,0.665126,-0.665602,0.338498
743,574,0.511921,0.137639,,17.6105,7.18246,10.1055,0.0912241,0.40139,0.911353
744,575,0.240289,0.0940898,,16.3776,7.13109,9.95316,-0.271756,-0.894005,0.356237
745,575,0.271949,0.0823488,,16.415,7.18246,9.78656,0.0345701,-0.412136,-0.910466
746,577,0.366503,0.065272,,17.0034,7.63078,8.77746,-0.178446,-0.662588,-0.727416
747,577,0.867717,0.0931432,,17.1902,7.72418,8.50616,0.355184,-0.0645836,-0.932563
748,579,0.369965,0.0775699,,15.495,8.32661,9.13921,-0.959279,-0.277703,-0.051627
749,579,0.22031,0.129442,,15.6211,8.31727,9.07256,-0.466614,-0.551133,-0.691754
750,580,0.195168,0.0689786,,16.1955,8.70021,9.14396,0.286932,0.717842,0.634328
751,580,0.204151,0.0532691,,16.2142,8.6862,9.01066,0.45751,0.549004,-0.699485
752,581,0.790952,0.0651143,,16.2469,8.23321,7.88256,0.0354002,-0.342448,-0.93887
753,581,0.989009,0.0600143,,16.3963,8.35463,7.78736,0.330532,-0.0283313,-0.94337
754,582,0.348256,0.0736939,,14.477,9.57817,8.11581,0,-0.777761,0.62856
755,582,0.507119,0.0932862,,14.5097,9.64822,7.76356,0.128767,-0.257849,-0.957566
756,583,0.470255,0.0895027,,14.0894,10.0312,8.11576,-0.893771,-0.436953,0.101221
757,583,0.208147,0.185054,,14.2575,10.1339,7.99676,-0.404045,0,-0.914739
758,587,0.384117,0.0729019,,13.202,9.1532,9.70086,-0.413155,-0.729465,-0.545146
759,587,0.34839,0.0892599,,13.3094,9.27929,9.63421,0.161026,-0.0804268,-0.983668
760,588,0.217424,0.0870342,,11.7777,7.92966,10.2864,-0.859152,0.171829,0.482009
761,588,0.246105,0.112444,,11.8851,7.78956,10.2197,0.113772,-0.986734,-0.115806
