,left,cranial,caudal,middle,accessory
B6C3F1,1.01151076031424,1.28519719833665,0.921907368036701,0.928659618070448,0.792450471923588
BALB,1.05410097703331,1.17311479592817,0.844152115069566,0.977858030794099,0.966395264456631
CD,1.07119337664066,1.33014967004101,0.819914542670726,0.830240180097325,0.832844834799238
C57BL,1.06102657614265,1.33939832106892,0.834756618958482,0.898532472573275,0.826349309559888
